시설명,시도,시군구,총길이,총폭,경간수,최대경간장,상부구조,설계하중,교통량,준공년도,준공후경과년수
가남JCT육교(강릉),경기도,여주군,225.0,16.2,5.0,45.0,강박스거더교,DB-24,24562.0,1994,29
가남JCT육교(인천),경기도,여주군,225.0,16.2,5.0,45.0,강박스거더교,DB-24,24562.0,1994,29
가남교(강릉0),경기도,여주군,25.0,19.3,1.0,25.0,프리플렉스거더교,DB-24,61826.0,2003,20
가남교(강릉1),경기도,여주군,25.0,5.6,1.0,25.0,PSCI거더교,DB-24,61826.0,2010,13
가남교(인천),경기도,여주군,25.0,19.3,1.0,25.0,프리플렉스거더교,DB-24,61826.0,2003,20
가산교(강릉),경기도,이천시,10.0,20.1,1.0,10.0,라멘교,DB-24,61826.0,2003,20
가산교(인천),경기도,이천시,10.0,20.6,1.0,10.0,라멘교,DB-24,61826.0,2003,20
가야교(강릉),경기도,여주군,13.9,12.5,1.0,13.9,라멘교,DB-24,24562.0,1999,24
가야교(인천),경기도,여주군,13.9,12.5,1.0,13.9,라멘교,DB-24,24562.0,1994,29
가학교,경기도,광명시,160.0,26.0,4.0,50.0,PSCI거더교,DB-24,29864.0,2016,7
각평육교(강릉0),경기도,이천시,12.0,12.1,1.0,12.0,라멘교,DB-24,58455.0,1994,29
각평육교(강릉1),경기도,이천군,12.0,7.2,1.0,12.0,라멘교,DB-24,58455.0,2011,12
각평육교(인천0),경기도,이천시,12.0,12.1,1.0,12.0,라멘교,DB-24,58455.0,1994,29
각평육교(인천1),경기도,이천군,12.0,7.2,1.0,12.0,라멘교,DB-24,58455.0,2011,12
갈매1육교,경기도,구리시,50.2,4.9,1.0,50.2,PSCI거더교,기타,28404.0,2017,6
갈매2육교,경기도,구리시,50.1,20.9,1.0,50.1,강박스거더교,DB-24,37338.0,2017,6
갈매3육교,경기도,구리시,45.6,12.5,1.0,45.6,PSCI거더교,DB-24,37338.0,2017,6
갈매3육교,경기도,구리시,45.6,12.5,1.0,45.6,PSCI거더교,DB-24,37338.0,2017,6
갈매교(구리),경기도,구리시,30.9,63.0,1.0,30.9,라멘교,DB-24,28404.0,2017,6
갈매교(구리),경기도,구리시,30.9,63.0,1.0,30.9,라멘교,DB-24,37338.0,2017,6
갈매교(포천),경기도,구리시,30.9,63.0,1.0,30.9,라멘교,DB-24,37338.0,2017,6
갈매교(포천),경기도,구리시,30.9,63.0,1.0,30.9,라멘교,DB-24,37338.0,2017,6
갈전1교(제천),경기도,안성시,30.1,11.8,1.0,30.1,PSCI거더교,DB-24,29545.0,2008,15
갈전1교(평택),경기도,안성시,30.1,12.5,1.0,30.1,PSCI거더교,DB-24,29545.0,2008,15
갈전2교(제천),경기도,안성시,35.0,11.8,1.0,35.0,PSCI거더교,DB-24,29545.0,2008,15
갈전2교(평택),경기도,안성시,35.0,12.5,1.0,35.0,PSCI거더교,DB-24,29545.0,2008,15
갈전안성천교(제천),경기도,안성시,150.6,11.8,5.0,30.1,PSCI거더교,DB-24,29545.0,2008,15
갈전안성천교(평택),경기도,안성시,150.6,12.5,5.0,30.1,PSCI거더교,DB-24,29545.0,2008,15
갈전육교,경기도,안성시,43.5,30.0,3.0,24.5,라멘교,DB-24,29545.0,2008,15
감암1교(구리),경기도,포천시,90.4,24.6,3.0,30.2,PSCI거더교,DB-24,18494.0,2017,6
감암1교(구리),경기도,포천시,90.4,24.6,3.0,30.2,PSCI거더교,DB-24,18494.0,2017,6
감암1교(포천),경기도,포천시,90.4,24.6,3.0,30.2,PSCI거더교,DB-24,18494.0,2017,6
감암1교(포천),경기도,포천시,90.4,24.6,3.0,30.2,PSCI거더교,DB-24,18494.0,2017,6
감암2교(구리),경기도,포천시,12.0,24.6,1.0,12.0,라멘교,DB-24,18494.0,2017,6
감암2교(구리),경기도,포천시,12.0,24.6,1.0,12.0,라멘교,DB-24,18494.0,2017,6
감암2교(포천),경기도,포천시,12.0,24.6,1.0,12.0,라멘교,DB-24,18494.0,2017,6
감암2교(포천),경기도,포천시,12.0,24.6,1.0,12.0,라멘교,DB-24,18494.0,2017,6
감암3교(구리),경기도,포천시,15.0,24.5,1.0,15.0,라멘교,DB-24,18494.0,2017,6
감암3교(구리),경기도,포천시,15.0,24.5,1.0,15.0,라멘교,DB-24,18494.0,2017,6
감암3교(포천),경기도,포천시,15.0,24.5,1.0,15.0,라멘교,DB-24,18494.0,2017,6
감암3교(포천),경기도,포천시,15.0,24.5,1.0,15.0,라멘교,DB-24,18494.0,2017,6
감일1교(구리0),경기도,하남시,30.1,12.0,1.0,30.1,PSCI거더교,DB-24,108430.0,1991,32
감일1교(구리1),경기도,하남시,30.1,7.8,1.0,30.1,PSCI거더교,DB-24,108430.0,2002,21
감일1교(판교0),경기도,하남시,30.1,12.1,1.0,30.1,PSCI거더교,DB-24,108430.0,1991,32
감일1교(판교1),경기도,하남시,30.1,13.4,1.0,30.1,PSCI거더교,DB-24,108430.0,2002,21
감일1육교,경기도,하남시,100.1,8.4,2.0,50.0,강박스거더교,DB-24,81126.0,2002,21
감일2교(구리0),경기도,하남시,40.7,12.0,1.0,40.7,프리플렉스거더교,DB-24,108430.0,1991,32
감일2교(구리1),경기도,하남시,41.2,14.5,1.0,41.2,프리플렉스거더교,DB-24,108430.0,2002,21
감일2교(판교0),경기도,하남시,40.7,12.0,1.0,40.7,프리플렉스거더교,DB-24,108430.0,1991,32
감일2교(판교1),경기도,하남시,41.2,7.6,1.0,41.2,프리플렉스거더교,DB-24,108430.0,2002,21
감일2육교,경기도,하남시,100.1,8.0,2.0,50.0,강박스거더교,DB-24,81126.0,2002,21
감일3교(구리0),경기도,하남시,210.4,11.9,7.0,30.2,PSCI거더교,DB-24,108430.0,1991,32
감일3교(구리1),경기도,하남시,210.4,17.4,7.0,30.2,PSCI거더교,DB-24,108430.0,2002,21
감일3교(판교),경기도,하남시,210.4,18.7,7.0,30.2,PSCI거더교,DB-24,108430.0,1991,32
감일4교(구리0),경기도,하남시,9.6,14.4,1.0,9.6,라멘교,DB-24,81126.0,1991,32
감일4교(구리1),경기도,하남시,9.6,7.3,1.0,9.6,라멘교,DB-24,81126.0,2002,21
감일4교(판교0),경기도,하남시,9.6,20.5,1.0,9.6,라멘교,DB-24,81126.0,1991,32
감일4교(판교1),경기도,하남시,9.6,12.6,1.0,9.6,라멘교,DB-24,81126.0,2002,21
감일5교(구리0),경기도,하남시,41.1,15.0,1.0,41.1,프리플렉스거더교,DB-24,81126.0,1991,32
감일5교(구리1),경기도,하남시,41.1,14.1,1.0,41.1,프리플렉스거더교,DB-24,81126.0,2002,21
감일5교(판교),경기도,하남시,41.1,11.9,1.0,41.1,프리플렉스거더교,DB-24,81126.0,1991,32
강동대교(구리0),서울특별시,강동구,1126.0,12.6,13.0,125.0,PSC박스거더교,DB-24,84424.0,1991,32
강동대교(구리1),서울특별시,강동구,1126.0,12.6,13.0,125.0,PSC박스거더교,DB-24,84424.0,1991,32
강동대교(판교),서울특별시,강동구,1126.0,19.8,13.0,125.0,PSC박스거더교,DB-24,84424.0,2002,21
강문교(제천),경기도,안성시,150.0,17.8,3.0,60.0,강박스거더교,DB-24,36471.0,2002,21
강문교(평택),경기도,안성시,150.0,15.7,3.0,60.0,강박스거더교,DB-24,36471.0,2002,21
강일IC1교,서울특별시,강동구,79.1,11.6,3.0,31.0,PSC슬래브교,DB-24,84424.0,2009,14
강일IC2교,서울특별시,강동구,141.1,8.0,3.0,47.1,강박스거더교,DB-24,84424.0,2002,21
강일IC3교,서울특별시,강동구,280.1,8.6,8.0,35.1,PSC박스거더교,DB-24,84424.0,1991,32
강일IC4교,서울특별시,강동구,175.2,8.6,5.0,35.1,PSC박스거더교,DB-24,84424.0,2002,21
강일교(구리0),서울특별시,강동구,90.2,11.9,3.0,30.1,PSCI거더교,DB-24,119980.0,1987,36
강일교(구리1),서울특별시,강동구,90.2,11.5,3.0,30.1,PSCI거더교,DB-24,119980.0,2001,22
강일교(판교0),서울특별시,강동구,90.2,11.9,3.0,30.1,PSCI거더교,DB-24,119980.0,1987,36
강일교(판교1),서울특별시,강동구,90.2,10.5,3.0,30.1,프리플렉스거더교,DB-24,119980.0,2001,22
강천1교(강릉),경기도,여주군,120.0,12.9,4.0,30.0,PSCI거더교,DB-24,20826.0,1994,29
강천1교(인천),경기도,여주군,120.0,12.9,4.0,30.0,PSCI거더교,DB-24,20826.0,1994,29
개매교(강릉0),경기도,군포시,39.1,12.0,3.0,15.0,RC슬래브교,DB-24,65628.0,1991,32
개매교(강릉1),경기도,군포시,38.8,6.3,3.0,14.9,RC슬래브교,DB-24,65628.0,2001,22
개매교(인천0),경기도,군포시,39.1,12.0,3.0,15.0,RC슬래브교,DB-24,65628.0,1991,32
개매교(인천1),경기도,군포시,38.8,6.0,3.0,14.9,RC슬래브교,DB-24,65628.0,2001,22
