교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
장곡IC육교,김포시,B,20,3,37.60612,126.74756
천둥IC육교,김포시,B,20,3,37.603792,126.762095
모산고가차도,안성시,B,20,2,37.020483,127.241802
오천교차1교,이천시,B,19,기타,37.254504,127.362648
오천교차2교,이천시,B,19,기타,37.254634,127.362631
이치1교,이천시,B,19,3,37.254525,127.380106
이치2교,이천시,B,19,3,37.254136,127.385012
도드람교차교,이천시,A,19,3,37.254287,127.389867
설서교,이천시,B,19,3,37.25565,127.402315
유산교차교,이천시,B,19,3,37.245482,127.44
유산1교,이천시,B,19,3,37.248507,127.445159
유산2교,이천시,B,19,2,37.249784,127.446942
복하IC교,이천시,B,19,2,37.265618,127.462287
장서육교,안성시,B,19,3,37.107406,127.218519
이동교(상),안성시,B,19,2,37.109895,127.2181
이동교(하),안성시,B,19,2,37.109846,127.217919
묘봉교(상),용인시 처인구,B,19,2,37.122334,127.213502
묘봉교(하),용인시 처인구,B,19,2,37.122366,127.21339
묘봉육교,용인시 처인구,B,19,3,37.1267,127.213325
요덕교,용인시 처인구,B,19,2,37.135722,127.210594
송전1교,용인시 처인구,B,19,3,37.143455,127.201285
송전육교,용인시 처인구,B,19,3,37.145071,127.200929
