교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
신원육교,기타,경기도,이천시,15.0,19.5,4,라멘교,B,DB-24,25,1.0,15.0,15307.0
백록육교,기타,경기도,이천시,10.0,19.5,4,라멘교,B,DB-24,25,1.0,10.0,15307.0
능서육교,기타,경기도,여주시,15.0,19.5,4,라멘교,B,DB-24,25,1.0,15.0,16322.0
신궁1육교,3,경기도,평택시,30.7,19.5,4,PSCI거더교,B,DB-24,26,1.0,30.7,18104.0
신궁2육교,3,경기도,평택시,40.0,19.5,4,강박스거더교,C,DB-24,26,1.0,40.0,18104.0
평궁교,3,경기도,평택시,30.5,27.0,4,PSCI거더교,B,DB-24,26,1.0,30.5,18104.0
안성천2교,1,경기도,평택시,941.6,19.5,4,강박스거더교,B,DB-24,23,29.0,60.0,18104.0
월정육교,기타,경기도,안성시,12.0,24.7,4,라멘교,B,DB-24,25,1.0,12.0,12041.0
청미교(상),2,경기도,안성시,212.8,10.8,2,PSCI거더교,B,DB-24,25,7.0,30.4,12041.0
청미교(하),2,경기도,안성시,212.8,10.8,2,PSCI거더교,B,DB-24,25,7.0,30.5,12041.0
행죽교,3,경기도,이천시,25.2,19.5,4,PSCI거더교,B,DB-24,25,1.0,25.2,5388.0
행죽육교,기타,경기도,이천시,16.0,19.5,4,라멘교,B,DB-24,25,1.0,16.0,5388.0
제요교,3,경기도,이천시,75.0,19.5,4,PSCI거더교,B,DB-24,25,3.0,25.0,5481.0
제요1교,3,경기도,이천시,25.2,19.5,4,PSCI거더교,C,DB-24,25,1.0,25.2,5481.0
대서육교,기타,경기도,이천시,15.0,19.5,4,라멘교,B,DB-24,25,1.0,16.6,5481.0
후포교,3,경기도,여주시,60.2,21.0,4,PSCI거더교,B,DB-24,24,2.0,30.1,6186.0
초현교,3,경기도,여주시,90.3,21.0,4,PSCI거더교,B,DB-24,24,3.0,30.2,4255.0
이호대교,1,경기도,여주시,910.0,21.0,4,강박스거더교,B,DB-24,24,17.0,70.0,13356.0
이호육교,3,경기도,여주시,30.0,26.0,4,프리플렉스거더교,B,DB-24,24,1.0,30.0,13356.0
강천육교,기타,경기도,여주시,18.0,21.0,4,라멘교,B,DB-24,24,1.0,18.0,13356.0
간매육교,3,경기도,여주시,40.0,21.0,4,프리플렉스거더교,B,DB-24,24,1.0,40.0,8326.0
부평교,3,경기도,여주시,21.7,69.0,4,라멘교,B,DB-24,24,2.0,11.0,8326.0
한평교,2,경기도,안성시,120.4,19.5,4,PSCI거더교,B,DB-24,28,4.0,30.2,11047.0
방초교,3,경기도,안성시,40.0,19.5,4,RC슬래브교,B,DB-24,27,3.0,16.0,11047.0
고안육교,기타,경기도,용인시 처인구,15.0,19.5,4,라멘교,C,DB-24,27,1.0,15.0,10203.0
백봉교,3,경기도,용인시 처인구,25.0,19.5,4,라멘교,A,DB-24,27,2.0,12.5,10203.0
원대교,3,경기도,용인시 처인구,42.1,19.5,4,RC슬래브교,B,DB-24,25,3.0,16.0,10203.0
백암교,3,경기도,용인시 처인구,43.0,29.0,7,RC슬래브교,B,DB-24,25,3.0,15.8,10203.0
근곡교,3,경기도,용인시 처인구,25.0,19.5,4,라멘교,B,DB-24,27,2.0,12.5,15051.0
두창육교,3,경기도,용인시 처인구,50.0,19.5,4,라멘교,B,DB-24,27,3.0,20.0,15051.0
능교,3,경기도,용인시 처인구,20.0,19.5,4,라멘교,B,DB-24,27,2.0,10.0,15051.0
희곡육교,2,경기도,평택시,50.1,27.6,4,강박스거더교,B,DB-24,23,1.0,50.1,6892.0
양지고가차도,1,경기도,용인시 처인구,230.0,16.5,4,강박스거더교,B,DB-24,24,5.0,50.0,16976.0
석근육교,기타,경기도,평택시,15.0,19.5,4,라멘교,B,DB-24,23,1.0,15.0,17936.0
추팔육교,기타,경기도,평택시,15.0,19.5,4,라멘교,B,DB-24,23,1.0,15.0,17936.0
내리고가차도,2,경기도,안성시,405.7,17.4,4,강박스거더교,B,DB-24,22,9.0,45.2,21577.0
오산육교,기타,경기도,용인시 처인구,12.0,22.5,5,라멘교,B,DB-24,22,1.0,12.0,26567.0
양촌교,3,경기도,용인시 처인구,30.0,19.5,4,PSCI거더교,B,DB-24,22,1.0,30.0,26567.0
능원교,2,경기도,용인시 처인구,150.0,19.5,4,PSCI거더교,B,DB-24,22,5.0,30.0,26567.0
능원육교,3,경기도,용인시 처인구,30.0,19.5,4,PSCI거더교,B,DB-24,22,1.0,30.0,26567.0
동림육교,2,경기도,용인시 처인구,50.0,27.5,6,강박스거더교,B,DB-24,22,1.0,50.0,33063.0
문형교,1,경기도,광주시,340.0,19.5,4,강박스거더교,B,DB-24,22,7.0,50.0,33063.0
문형2교,2,경기도,광주시,120.0,27.5,6,PSCI거더교,B,DB-24,22,4.0,30.0,33063.0
문형육교,3,경기도,광주시,30.0,19.5,4,PSCI거더교,B,DB-24,22,1.0,30.0,33063.0
추자육교,2,경기도,광주시,50.1,19.5,4,강박스거더교,B,DB-24,22,1.0,50.1,38403.0
오포육교,3,경기도,광주시,50.0,19.5,4,PSCI거더교,B,DB-24,22,2.0,25.0,38403.0
진암교,3,경기도,이천시,30.0,19.4,4,라멘교,B,DB-24,21,2.0,15.0,5654.0
진암1교,3,경기도,이천시,45.0,26.8,6,강박스거더교,B,DB-24,21,1.0,45.0,5654.0
진암2교,기타,경기도,이천시,15.0,19.4,4,라멘교,B,DB-24,21,1.0,15.0,5654.0
진암3교,3,경기도,이천시,80.0,6.9,1,강박스거더교,B,DB-24,21,3.0,30.0,5654.0
제암육교,2,경기도,화성시,50.1,19.5,4,강박스거더교,B,DB-24,21,1.0,50.1,29724.0
발안교,2,경기도,화성시,195.0,19.5,4,강박스거더교,B,DB-24,21,6.0,45.0,29724.0
제암1육교,3,경기도,화성시,30.0,28.0,6,PSCI거더교,B,DB-24,21,1.0,30.0,29724.0
