교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
강씨봉교,3,경기도,가평군,70.0,12.0,2,프리플렉스거더교,B,DB-24,12,2.0,35.0,753.0
개척2교,기타,경기도,양주시,12.5,9.0,2,RC슬래브교,C,DB-13.5,35,1.0,12.5,405.0
개척교,기타,경기도,파주시,12.5,9.0,2,강I거더교,C,DB-13.5,35,1.0,12.5,3987.0
경신IC교,기타,경기도,양주시,40.0,20.9,4,프리플렉스거더교,B,DB-24,9,1.0,40.0,9874.0
경신교,3,경기도,양주시,40.0,13.0,2,RC슬래브교,B,DB-24,22,2.0,20.0,4062.0
고비교,3,경기도,양주시,22.4,8.0,2,라멘교,B,DB-18,35,2.0,11.2,3112.0
고산교,3,경기도,파주시,80.0,25.0,6,RC슬래브교,B,DB-24,35,6.0,14.0,16188.0
광신교,3,경기도,파주시,24.2,20.0,4,라멘교,B,DB-24,20,2.0,13.0,24752.0
구읍교,3,경기도,포천시,33.0,9.2,2,RC슬래브교,B,DB-13.5,56,3.0,13.0,4736.0
구한산교,3,경기도,양주시,33.0,11.0,2,RC슬래브교,B,DB-24,26,3.0,11.0,6579.0
권율교,3,경기도,양주시,24.0,8.0,2,라멘교,B,DB-18,35,3.0,8.0,3112.0
금승교,3,경기도,파주시,26.0,9.0,2,RCT거더교,A,DB-13.5,47,2.0,13.0,2004.0
내곡대교,2,경기도,남양주시,176.0,29.4,6,라멘교,B,DB-24,10,4.0,40.0,16273.0
능안1교,기타,경기도,양주시,13.0,25.9,4,라멘교,B,DB-24,10,1.0,13.0,8909.0
단촌교,3,경기도,양주시,24.6,11.0,2,프리플렉스거더교,B,DB-24,23,1.0,24.6,6308.0
답곡1교,기타,경기도,연천군,45.0,9.0,2,라멘교,B,DB-24,11,2.0,45.0,0.0
대동교,3,경기도,양주시,24.0,8.0,2,라멘교,B,DB-18,35,3.0,8.0,3112.0
대성3교,3,경기도,가평군,56.0,11.0,2,강박스거더교,B,DB-24,18,2.0,40.0,2333.0
덕도1교,기타,경기도,양주시,25.0,21.2,4,프리플렉스거더교,A,DB-24,9,1.0,25.0,10588.0
덕도2교,기타,경기도,양주시,35.0,20.9,4,프리플렉스거더교,A,DB-24,9,1.0,35.0,9874.0
덕도IC교,1,경기도,양주시,110.0,20.9,4,강박스거더교,B,DB-24,9,2.0,55.0,10588.0
덕도IC램프B교,기타,경기도,양주시,20.0,7.9,1,프리플렉스거더교,A,DB-24,9,1.0,20.0,10588.0
덕도IC램프C교,기타,경기도,양주시,25.0,7.9,1,프리플렉스거더교,A,DB-24,9,1.0,25.0,10588.0
덕도교,기타,경기도,양주시,40.0,20.9,4,프리플렉스거더교,A,DB-24,9,1.0,40.0,10588.0
덕도교,3,경기도,양주시,25.0,19.5,4,라멘교,B,DB-24,20,2.0,12.5,936.0
돌고개교,기타,경기도,양주시,16.6,9.5,2,라멘교,B,DB-24,22,1.0,16.6,3112.0
두천교,기타,경기도,연천군,13.5,8.6,2,RCT거더교,C,DB-13.5,48,1.0,13.5,1824.0
등원육교,1,경기도,파주시,230.0,22.0,4,강박스거더교,B,DB-24,17,5.0,50.0,31599.0
말미교,기타,경기도,양주시,15.0,27.0,4,라멘교,B,DB-24,19,1.0,15.0,11003.0
매곡교,3,경기도,양주시,40.0,11.0,2,RC슬래브교,B,DB-24,27,3.0,13.4,262.0
묵은1교,기타,경기도,양주시,10.5,25.6,4,라멘교,B,DB-24,19,1.0,10.5,8009.0
문산천1호교,3,경기도,양주시,38.0,24.0,2,라멘교,B,DB-24,23,3.0,13.0,1986.0
발운리교,3,경기도,양주시,55.2,20.0,4,RC슬래브교,B,DB-24,19,4.0,15.0,11003.0
방미교,3,경기도,파주시,20.0,11.0,2,RC슬래브교,B,DB-24,26,2.0,10.0,4154.0
방아교,3,경기도,연천군,86.2,10.5,2,RC슬래브교,B,DB-24,22,6.0,15.0,0.0
방아교1,3,경기도,양주시,30.0,21.0,4,프리플렉스거더교,B,DB-24,23,1.0,30.0,6308.0
방아다리교,3,경기도,연천군,48.5,8.6,2,강I거더교,B,DB-18,28,4.0,13.0,0.0
백마교,3,경기도,파주시,30.0,12.0,2,라멘교,A,DB-24,22,2.0,15.0,7252.0
백석교,3,경기도,양주시,18.5,15.5,2,라멘교,B,DB-24,20,2.0,9.3,3780.0
백운교,3,경기도,포천시,25.0,9.0,2,PSCI거더교,B,DB-24,22,2.0,13.0,1051.0
법원교,1,경기도,파주시,110.0,20.9,4,강박스거더교,B,DB-24,9,2.0,55.0,892.0
부곡3새마을교,3,경기도,양주시,25.0,9.0,2,라멘교,B,DB-24,21,2.0,12.5,5309.0
부곡교,3,경기도,양주시,32.0,12.0,2,라멘교,B,DB-24,21,2.0,16.0,5309.0
부곡교1,3,경기도,파주시,85.0,10.0,2,RC슬래브교,B,DB-24,29,5.0,18.0,2497.0
비룡대교,2,경기도,연천군,420.0,9.1,2,PSC슬래브교,B,DB-24,29,14.0,30.0,3162.0
비성교,기타,경기도,양주시,18.2,8.1,2,라멘교,B,DB-18,35,2.0,9.1,3112.0
산정1교,3,경기도,포천시,36.0,10.0,2,RC슬래브교,B,DB-24,26,3.0,12.0,2932.0
산정2교,3,경기도,포천시,57.0,11.0,2,RC슬래브교,B,DB-24,23,4.0,14.5,2932.0
산정3교,3,경기도,포천시,45.0,8.0,2,RC슬래브교,C,DB-24,33,3.0,15.0,365.0
삼산교,3,경기도,포천시,27.0,10.5,2,라멘교,C,DB-24,25,2.0,13.5,1594.0
삼정교,3,경기도,포천시,46.0,10.0,2,RC슬래브교,B,DB-24,27,3.0,16.0,1023.0
상수1교,기타,경기도,양주시,25.0,20.9,4,프리플렉스거더교,A,DB-24,9,1.0,25.0,9874.0
상수IC교,기타,경기도,양주시,90.0,7.9,1,강박스거더교,B,DB-24,9,2.0,45.0,9874.0
석수교,기타,경기도,양주시,13.8,8.1,2,라멘교,B,DB-18,35,1.0,13.8,3112.0
석우교,기타,경기도,양주시,13.0,19.5,4,라멘교,B,DB-24,20,1.0,13.0,9458.0
석우교1,3,경기도,양주시,26.0,11.0,2,RC슬래브교,B,DB-24,26,2.0,13.0,5284.0
석현교,3,경기도,양주시,36.0,8.0,2,RCT거더교,B,DB-13.5,50,3.0,12.0,3112.0
성지1교,기타,경기도,남양주시,70.4,24.7,4,PSCI거더교,A,DB-24,10,2.0,35.4,2885.0
성지교(상),1,경기도,남양주시,160.0,19.4,2,강박스거더교,B,DB-24,10,3.0,50.0,2885.0
세낭골교,기타,경기도,양주시,11.0,44.3,4,라멘교,B,DB-24,10,1.0,11.0,8909.0
수암교,기타,경기도,파주시,14.0,9.0,2,라멘교,B,DB-24,21,1.0,14.0,892.0
식현교,기타,경기도,파주시,8.5,11.0,2,라멘교,B,DB-24,16,1.0,8.5,1987.0
신북교,2,경기도,포천시,180.0,21.0,4,PSCI거더교,B,DB-24,17,6.0,30.0,3211.0
신촌교1,3,경기도,남양주시,64.0,11.0,2,RC슬래브교,B,DB-24,25,5.0,12.8,2885.0
신한산교,3,경기도,양주시,36.0,10.5,2,프리플렉스거더교,B,DB-24,16,1.0,36.0,6579.0
안고령1교,3,경기도,양주시,20.0,12.0,2,라멘교,A,DB-24,21,2.0,10.0,1986.0
양지교,기타,경기도,남양주시,60.0,19.4,4,프리플렉스거더교,A,DB-24,10,2.0,30.0,2885.0
양진교,기타,경기도,가평군,15.0,9.6,2,RC슬래브교,B,DB-24,23,1.0,15.0,1076.0
연평교,기타,경기도,남양주시,12.0,18.0,2,라멘교,A,DB-24,10,1.0,12.0,2885.0
연평대교,3,경기도,남양주시,77.0,33.4,8,프리플렉스거더교,B,DB-24,22,2.0,38.5,18530.0
영장2교,3,경기도,파주시,30.0,6.7,2,RC슬래브교,B,DB-13.5,35,3.0,10.0,1907.0
오남교,기타,경기도,남양주시,30.0,13.0,2,RC슬래브교,B,DB-24,29,3.0,10.0,13233.0
오류동1교,기타,경기도,가평군,10.0,14.5,2,라멘교,B,DB-24,18,1.0,10.0,2333.0
오현IC교,기타,경기도,파주시,25.0,20.9,4,프리플렉스거더교,B,DB-24,9,1.0,25.0,892.0
용암4교,기타,경기도,양주시,15.0,24.6,5,라멘교,B,DB-24,19,1.0,15.0,8009.0
용정1교,기타,경기도,남양주시,15.0,19.4,4,라멘교,B,DB-13.5,12,1.0,15.0,14682.0
용정3교,2,경기도,남양주시,55.0,20.9,4,강박스거더교,B,DB-24,12,1.0,55.0,14682.0
운담교,3,경기도,포천시,73.3,8.5,2,RC슬래브교,B,DB-24,29,6.0,12.5,3135.0
운수1교,2,경기도,남양주시,210.0,12.4,3,PSCI거더교,B,DB-24,15,7.0,30.0,2885.0
운수교,2,경기도,남양주시,270.0,13.3,3,PSCI거더교,B,DB-24,15,9.0,30.0,2885.0
울대교,3,경기도,양주시,39.0,15.0,2,PSCI거더교,B,DB-24,21,1.0,39.0,5309.0
원덕둔교,3,경기도,포천시,77.0,10.0,2,RC슬래브교,B,DB-24,27,5.0,15.5,1023.0
입암교,3,경기도,양주시,83.0,8.0,2,RC슬래브교,B,DB-24,30,6.0,14.2,4062.0
자일교,기타,경기도,포천시,18.0,5.0,1,RC슬래브교,B,DB-13.5,39,2.0,10.0,3940.0
장군교,3,경기도,양주시,24.0,8.0,2,라멘교,B,DB-18,35,3.0,8.0,3112.0
장진교,2,경기도,연천군,180.0,11.0,2,강박스거더교,B,DB-24,24,4.0,45.0,4844.0
장천교,3,경기도,양주시,23.0,9.0,2,라멘교,B,DB-24,21,2.0,12.0,5309.0
장현대교,2,경기도,남양주시,130.0,20.8,8,프리플렉스거더교,C,DB-24,25,5.0,26.0,18530.0
적목1교,기타,경기도,가평군,65.0,11.0,2,기타,A,DB-24,9,2.0,32.5,753.0
제2비금교,기타,경기도,남양주시,15.0,12.0,2,RC슬래브교,C,DB-18,53,2.0,7.5,6313.0
종현교,3,경기도,포천시,48.0,10.5,2,RC슬래브교,B,DB-24,26,3.0,16.0,1023.0
중산교,3,경기도,파주시,40.0,10.0,2,RC슬래브교,B,DB-13.5,35,4.0,10.0,1907.0
지청교,3,경기도,포천시,37.5,10.0,2,RC슬래브교,B,DB-24,27,3.0,12.5,753.0
직사교,3,경기도,포천시,80.9,10.5,2,RC슬래브교,C,DB-24,26,5.0,16.5,1023.0
칠팔교,3,경기도,연천군,30.0,11.0,2,RC슬래브교,B,DB-24,28,2.0,15.0,1015.0
탑골3교,기타,경기도,양주시,14.4,31.6,5,라멘교,B,DB-24,19,1.0,14.4,8009.0
팔팔교,3,경기도,양주시,22.4,8.3,2,라멘교,B,DB-18,35,2.0,12.0,3112.0
향동1교,기타,경기도,양주시,13.0,24.0,4,라멘교,B,DB-24,10,1.0,13.0,3527.0
호명교1,기타,경기도,가평군,15.0,10.0,2,라멘교,B,DB-24,27,1.0,15.0,1076.0
호성교,3,경기도,양주시,23.0,9.0,2,라멘교,B,DB-18,35,2.0,12.0,3112.0
호수교,3,경기도,포천시,45.0,11.0,2,라멘교,B,DB-24,19,3.0,15.0,365.0
황지교,3,경기도,연천군,30.0,16.2,3,라멘교,B,DB-24,20,2.0,15.0,4844.0
효촌1교,2,경기도,양주시,150.0,22.8,4,기타,B,DB-24,9,5.0,30.0,10588.0
효촌1교,기타,경기도,양주시,11.0,5.5,1,RCT거더교,C,DB-13.5,43,1.0,11.0,262.0
효촌2교,3,경기도,양주시,22.0,5.6,1,RCT거더교,C,DB-13.5,43,2.0,11.0,262.0
효촌3교,기타,경기도,양주시,10.0,5.6,1,RCT거더교,C,DB-24,43,1.0,10.0,262.0
효촌천교,2,경기도,양주시,245.0,20.9,4,PSCI거더교,B,DB-24,9,7.0,35.0,9874.0
신산1교,2,경기도,양주시,105.0,20.0,4,프리플렉스거더교,B,DB-24,22,3.0,35.0,4056.0
은현교,2,경기도,양주시,112.5,23.0,4,RC슬래브교,B,DB-24,19,7.0,17.0,8009.0
임월교,1,경기도,파주시,200.0,12.0,2,강박스거더교,C,DB-24,26,4.0,50.0,3584.0
장남교,1,경기도,파주시,593.0,11.0,2,강I거더교,B,DB-24,10,8.0,80.0,1987.0
주월교,2,경기도,파주시,122.0,11.0,2,RC슬래브교,B,DB-24,22,6.0,24.0,2497.0
봉일천교,1,경기도,파주시,135.0,25.0,6,강박스거더교,B,DB-24,26,3.0,45.0,14004.0
간파교,기타,경기도,연천군,48.0,13.0,2,PSCI거더교,A,DB-18,8,2.0,24.0,3516.0
백학교,3,경기도,연천군,40.0,10.5,2,RC슬래브교,B,DB-24,26,2.0,20.0,1824.0
양수대교,1,경기도,남양주시,600.0,13.3,2,강플레이트거더교,B,DB-24,8,6.0,100.0,3862.0
하판교,기타,경기도,가평군,15.0,10.9,2,라멘교,B,DB-24,14,1.0,15.0,364.0
봉암램프교,2,경기도,파주시,115.0,7.9,1,강박스거더교,B,DB-24,8,3.0,45.0,14106.0
덕은3교,2,경기도,파주시,160.0,33.9,6,기타,B,DB-24,8,4.0,40.5,14106.0
성지교(하),1,경기도,남양주시,160.0,19.4,2,강박스거더교,B,DB-24,10,3.0,50.0,2885.0
선유1천1교,기타,경기도,연천군,13.0,11.0,2,RC슬래브교,B,DB-24,7,1.0,13.0,1015.0
용미1교,기타,경기도,파주시,30.0,19.6,2,기타,B,DB-24,7,1.0,30.0,7448.0
용미2교,기타,경기도,파주시,80.0,19.5,4,기타,B,DB-24,7,2.0,40.0,7448.0
램프교,기타,경기도,파주시,80.0,7.7,2,기타,B,DB-24,7,2.0,40.0,9600.0
진관교,3,경기도,남양주시,61.0,11.2,4,라멘교,B,DB-24,12,4.0,15.5,14682.0
덕은1교,기타,경기도,파주시,12.0,44.0,4,라멘교,B,DB-24,8,1.0,12.0,14106.0
덕은1교 R-1,기타,경기도,파주시,30.0,7.9,2,라멘교,B,DB-24,8,1.0,30.0,14106.0
덕은1교 R-2,기타,경기도,파주시,30.0,7.9,2,라멘교,B,DB-24,8,1.0,30.0,14106.0
덕은2교,기타,경기도,파주시,45.1,20.9,4,프리플렉스거더교,B,DB-24,8,1.0,45.1,14106.0
용상교,기타,경기도,파주시,35.1,30.4,4,프리플렉스거더교,B,DB-24,8,1.0,35.1,10321.0
선곡교,기타,경기도,연천군,13.0,11.0,2,RC슬래브교,B,DB-24,7,1.0,13.0,1015.0
적목2교,기타,경기도,가평군,83.0,15.5,2,강I거더교,A,DB-24,7,3.0,34.5,753.0
삼팔교,2,경기도,포천시,135.0,13.0,2,PSCI거더교,B,DB-24,5,3.0,45.0,3135.0
연풍교(금촌방향),1,경기도,파주시,185.0,11.4,2,강박스거더교,B,DB-24,5,4.0,55.0,2656.0
연풍교(법원방향),1,경기도,파주시,185.0,11.4,2,강박스거더교,B,DB-24,5,4.0,55.0,2656.0
문산천교(금촌방향),1,경기도,파주시,170.0,10.7,2,강박스거더교,B,DB-24,5,3.0,60.0,18560.0
문산천교(법원방향),1,경기도,파주시,170.0,10.2,2,강박스거더교,B,DB-24,5,3.0,60.0,18560.0
방축교(금촌방향),1,경기도,파주시,145.0,10.7,2,강박스거더교,B,DB-24,5,3.0,55.0,18560.0
방축교(법원방향),1,경기도,파주시,145.0,10.2,2,강박스거더교,B,DB-24,5,3.0,55.0,18560.0
감악1교(백학방향),2,경기도,파주시,120.0,11.4,2,PSCI거더교,B,DB-24,5,4.0,30.0,3624.0
감악1교(양주방향),2,경기도,파주시,135.0,11.4,2,PSCI거더교,B,DB-24,5,4.0,35.0,3624.0
감악3교(백학방면),2,경기도,파주시,175.0,11.4,2,PSCI거더교,B,DB-24,5,5.0,35.0,3624.0
감악3교(양주방향),2,경기도,파주시,175.0,11.4,2,PSCI거더교,B,DB-24,5,5.0,35.0,3624.0
감악4교(백학방향),1,경기도,파주시,180.0,11.4,2,강박스거더교,B,DB-24,5,4.0,50.0,3624.0
감악4교(양주방향),1,경기도,파주시,160.0,11.4,2,강박스거더교,B,DB-24,5,3.0,60.0,3624.0
감악5교(백학방향),2,경기도,파주시,140.0,11.4,2,PSCI거더교,B,DB-24,5,4.0,35.0,3624.0
감악5교(양주방향),2,경기도,파주시,140.0,11.4,2,PSCI거더교,B,DB-24,5,4.0,35.0,3624.0
감악6교(백학방향),1,경기도,파주시,230.0,11.1,2,강박스거더교,B,DB-24,5,4.0,65.0,3624.0
감악6교(양주방향),1,경기도,파주시,230.0,11.7,2,강박스거더교,B,DB-24,5,4.0,65.0,3624.0
감악7교(백학방향),1,경기도,파주시,170.0,11.0,2,강박스거더교,B,DB-24,5,3.0,60.0,3624.0
감악7교(양주방향),1,경기도,파주시,170.0,11.0,2,강박스거더교,B,DB-24,5,3.0,60.0,3624.0
오산교(금촌방향),2,경기도,파주시,170.0,10.2,2,강박스거더교,B,DB-24,5,4.0,4.0,31599.0
오산교(법원방향),2,경기도,파주시,170.0,10.7,2,강박스거더교,B,DB-24,5,4.0,45.0,31599.0
감악RAMP-B교,2,경기도,파주시,50.0,7.9,1,강박스거더교,B,DB-24,5,1.0,50.0,3624.0
포천천교,2,경기도,포천시,200.0,22.4,4,프리플렉스거더교,B,DB-24,5,5.0,45.0,5075.0
대회산교,1,경기도,포천시,270.0,8.9,2,PSCI거더교,B,DB-24,6,7.0,50.0,634.0
영장1교,3,경기도,파주시,30.0,7.0,2,RC슬래브교,B,DB-18,56,9.0,3.4,405.0
대능1교(금촌방향),2,경기도,파주시,210.5,11.4,2,PSCI거더교,B,DB-24,5,7.0,30.0,2656.0
대능1교(법원방향),2,경기도,파주시,210.5,11.4,2,PSCI거더교,B,DB-24,5,7.0,30.0,2656.0
광탄1교,기타,경기도,파주시,40.3,20.9,4,기타,B,DB-24,5,1.0,40.0,24752.0
광탄2교,기타,경기도,파주시,30.1,29.9,4,프리플렉스거더교,B,DB-24,5,1.0,30.0,24752.0
뇌조교(금촌방향),기타,경기도,파주시,40.1,10.5,2,강플레이트거더교,B,DB-24,5,1.0,40.0,31599.0
뇌조교(법원방향),기타,경기도,파주시,40.1,10.5,2,강플레이트거더교,B,DB-24,5,1.0,40.0,31599.0
대능2교(금촌방향),기타,경기도,파주시,40.1,10.5,2,PSCI거더교,B,DB-24,5,1.0,40.0,2656.0
대능2교(법원방향),기타,경기도,파주시,40.1,10.5,2,PSCI거더교,B,DB-24,5,1.0,40.0,2656.0
대능3교,기타,경기도,파주시,90.3,20.9,4,PSCI거더교,B,DB-24,5,3.0,30.0,892.0
등원교,기타,경기도,파주시,12.0,20.9,4,라멘교,B,DB-24,5,1.0,12.0,31599.0
법원1교,기타,경기도,파주시,30.1,21.1,4,PSCI거더교,B,DB-24,5,1.0,30.0,892.0
법원2교,기타,경기도,파주시,30.1,21.1,4,프리플렉스거더교,B,DB-24,5,1.0,30.0,892.0
분수천교(금촌방향),기타,경기도,파주시,90.2,10.5,2,강플레이트거더교,B,DB-24,5,2.0,45.0,18560.0
분수천교(법원방향),기타,경기도,파주시,90.2,10.5,2,강플레이트거더교,B,DB-24,5,2.0,45.0,18560.0
신산1교,기타,경기도,파주시,30.1,21.1,4,프리플렉스거더교,B,DB-24,5,1.0,30.0,18560.0
신산2교,기타,경기도,파주시,30.1,21.1,4,PSCI거더교,B,DB-24,5,1.0,30.0,18560.0
연풍1교(금촌방향),기타,경기도,파주시,45.1,12.5,2,강플레이트거더교,B,DB-24,5,1.0,45.0,2656.0
연풍1교(법원방향),기타,경기도,파주시,45.1,12.5,2,강플레이트거더교,B,DB-24,5,1.0,45.0,2656.0
용정2교,2,경기도,남양주시,100.0,15.0,2,기타,B,DB-24,12,1.0,100.0,14682.0
근홍교(상),1,경기도,포천시,360.0,12.6,2,PSCI거더교,B,DB-24,9,4.0,115.0,3940.0
망굴천교,기타,경기도,파주시,17.0,32.9,4,RC박스거더교,B,DB-24,5,1.0,17.0,24752.0
동물이동통로,기타,경기도,파주시,31.0,22.2,4,아치교,B,DB-24,5,1.0,31.0,2656.0
감악2교(백학방향),기타,경기도,파주시,90.0,11.4,2,강박스거더교,B,DB-24,5,2.0,45.0,3624.0
감악2교(양주방향),기타,경기도,파주시,90.0,11.4,2,강박스거더교,B,DB-24,5,2.0,45.0,3624.0
근홍교(하),1,경기도,포천시,360.0,6.3,2,PSC박스거더교,B,DB-24,9,4.0,115.0,3940.0
중에교,3,경기도,파주시,43.0,25.0,4,라멘교,B,DB-24,23,3.0,16.0,5343.0
갈현2교,3,경기도,파주시,30.0,8.2,2,RC슬래브교,B,DB-24,19,2.0,15.0,
청계교,3,경기도,포천시,30.0,31.6,4,라멘교,B,DB-24,14,2.0,15.0,3135.0
이동교리교,기타,경기도,포천시,32.0,25.5,6,라멘교,B,DB-24,14,2.0,16.0,16273.0
고모교,기타,경기도,포천시,32.0,19.5,4,강박스거더교,B,DB-24,14,1.0,32.0,16273.0
금현교(상),기타,경기도,포천시,41.0,11.5,2,라멘교,B,DB-24,14,3.0,14.0,10619.0
금현교(하),기타,경기도,포천시,41.0,11.5,2,라멘교,B,DB-24,14,3.0,14.0,10619.0
두밀교,3,경기도,가평군,35.0,7.0,2,라멘교,C,DB-24,13,2.0,17.5,5075.0
이산포IC RAMP-G교,2,경기도,고양시 일산서구,195.0,6.8,1,강박스거더교,B,DB-24,16,24.0,40.0,23794.0
이산포IC RAMP-H교,2,경기도,고양시 일산서구,320.0,6.8,1,강박스거더교,B,DB-24,16,24.0,40.0,23794.0
이산포IC RAMP-I교,1,경기도,고양시 일산서구,595.0,10.3,2,강박스거더교,B,DB-24,16,24.0,58.0,23794.0
일산대교,1,경기도,김포시,1590.0,28.5,6,강I거더교,B,DB-24,16,24.0,110.0,23794.0
과천고가교(상),1,경기도,과천시,150.0,14.2,3,프리플렉스거더교,B,DB-24,31,3.0,50.0,59750.0
과천고가교(하),1,경기도,과천시,150.0,14.2,3,프리플렉스거더교,B,DB-24,31,3.0,50.0,59750.0
당수천교,1,경기도,수원시 권선구,130.0,33.3,6,강박스거더교,B,DB-24,25,3.0,50.0,59750.0
백운대교,1,경기도,의왕시,300.0,23.5,4,PSC박스거더교,B,DB-24,31,6.0,50.0,59750.0
삼리교,1,경기도,의왕시,230.0,20.8,4,강플레이트거더교,B,DB-24,25,4.0,65.0,59750.0
서수원I.C본선교,1,경기도,수원시 권선구,170.0,20.8,4,강박스거더교,B,DB-24,25,3.0,70.0,59750.0
의왕I.C교,1,경기도,의왕시,500.0,28.4,4,강박스거더교,B,DB-24,25,10.0,65.0,59750.0
한직교,1,경기도,의왕시,250.0,23.5,4,PSC박스거더교,B,DB-24,31,5.0,50.0,59750.0
월암IC교,1,경기도,수원시 장안구,230.0,32.1,6,강박스거더교,B,DB-24,25,5.0,50.0,59750.0
오전1교,2,경기도,의왕시,105.3,12.6,2,PSCI거더교,B,DB-24,10,3.0,35.1,59750.0
오전2교,2,경기도,의왕시,105.2,12.4,2,PSCI거더교,B,DB-24,10,3.0,35.1,59750.0
청계1교(신),2,경기도,의왕시,151.0,12.6,2,PSCI거더교,B,DB-24,10,7.0,45.0,59750.0
서수원I.CRAMP-B교,1,경기도,수원시 권선구,467.0,7.8,1,강박스거더교,B,DB-24,25,10.0,70.0,59750.0
서수원I.CRAMP-C교,1,경기도,수원시 권선구,170.0,7.8,1,강박스거더교,B,DB-24,25,3.0,70.0,59750.0
서수원I.CRAMP-E교,1,경기도,수원시 권선구,385.0,11.3,1,강박스거더교,B,DB-24,25,8.0,65.0,59750.0
서수원I.CRAMP-G교,1,경기도,수원시 권선구,170.0,7.8,1,강박스거더교,B,DB-24,25,3.0,70.0,59750.0
신부곡I.CRAMP-A교,2,경기도,의왕시,175.0,13.8,2,강박스거더교,B,DB-24,25,4.0,45.0,59750.0
왕곡1교,1,경기도,의왕시,190.0,12.0,1,강박스거더교,B,DB-24,31,4.0,55.0,59750.0
왕곡2교,1,경기도,의왕시,190.0,8.5,1,강박스거더교,B,DB-24,31,4.0,55.0,59750.0
포일2교,2,경기도,의왕시,295.4,12.4,4,PSC박스거더교,B,DB-24,10,7.0,45.0,59750.0
포일3교,1,경기도,의왕시,110.2,13.6,2,강박스거더교,B,DB-24,10,2.0,55.1,59750.0
포일4교,1,경기도,의왕시,250.3,12.6,4,강박스거더교,B,DB-24,10,5.0,65.0,59750.0
의왕IC Ramp-F3교,1,경기도,의왕시,120.0,7.9,1,강박스거더교,B,DB-24,11,2.0,60.0,59750.0
청계1교,2,경기도,의왕시,151.0,23.5,4,PSCI거더교,B,DB-24,31,5.0,30.2,59750.0
과천I.C교,3,경기도,과천시,40.5,62.4,9,라멘교,A,DB-24,31,3.0,17.5,59750.0
내손교,3,경기도,의왕시,75.0,38.0,4,PSCI거더교,B,DB-24,31,3.0,25.0,59750.0
당수1교,3,경기도,수원시 권선구,31.7,27.9,4,라멘교,A,DB-24,25,2.0,16.0,59750.0
문원교,기타,경기도,과천시,15.0,23.5,4,라멘교,B,DB-24,31,1.0,15.0,59750.0
방죽1교,기타,경기도,수원시 권선구,24.4,36.0,4,라멘교,B,DB-24,25,2.0,12.2,59750.0
방죽2교,3,경기도,수원시 권선구,20.3,43.0,4,라멘교,B,DB-24,25,2.0,10.5,59750.0
백운교,기타,경기도,의왕시,15.0,42.6,4,라멘교,B,DB-24,31,1.0,15.0,59750.0
서수원I.CRAMP-D교,3,경기도,수원시 권선구,60.0,7.8,1,PSCI거더교,B,DB-24,25,2.0,30.0,59750.0
서수원I.CRAMP-F교,3,경기도,수원시 권선구,60.0,7.8,1,PSCI거더교,B,DB-24,25,2.0,30.0,59750.0
신부곡I.C교,3,경기도,의왕시,50.0,32.4,2,RC슬래브교,B,DB-24,25,3.0,20.0,59750.0
오전교(상),3,경기도,의왕시,75.0,12.0,2,PSCI거더교,B,DB-24,31,3.0,25.0,59750.0
오전교(하),3,경기도,의왕시,75.0,12.0,2,PSCI거더교,B,DB-24,31,3.0,25.0,59750.0
왕림1교,3,경기도,의왕시,20.0,41.7,6,RC중공슬래브교,A,DB-24,31,1.0,20.0,59750.0
왕림교,3,경기도,의왕시,75.0,41.7,6,PSCI거더교,B,DB-24,31,3.0,25.0,59750.0
의왕IC Ramp-E1교,기타,경기도,의왕시,45.0,7.9,1,강박스거더교,B,DB-24,11,1.0,45.0,59750.0
의왕IC Ramp-E2교,기타,경기도,의왕시,80.0,8.3,1,강박스거더교,B,DB-24,11,2.0,40.0,59750.0
의왕IC Ramp-F1교,기타,경기도,의왕시,80.0,7.9,1,강박스거더교,B,DB-24,11,2.0,40.0,59750.0
의왕IC Ramp-F2교,기타,경기도,의왕시,40.0,7.9,1,강박스거더교,B,DB-24,11,1.0,40.0,59750.0
제비울교(상),기타,경기도,과천시,12.0,33.0,6,라멘교,B,DB-24,15,1.0,12.0,59750.0
청계2교,3,경기도,의왕시,15.0,29.8,4,라멘교,B,DB-24,31,1.0,15.0,59750.0
청계IC교,기타,경기도,의왕시,12.0,8.4,2,라멘교,B,DB-24,10,1.0,12.0,59750.0
포일6교,기타,경기도,의왕시,20.0,11.5,4,라멘교,A,DB-24,10,1.0,20.0,59750.0
학의JCT램프3교,1,경기도,의왕시,330.0,12.5,2,강박스거더교,B,DB-24,28,6.0,55.0,59750.0
제비울교(하),기타,경기도,과천시,12.0,33.0,4,라멘교,B,DB-24,15,1.0,12.0,59750.0
군자대교(상행),1,경기도,시흥시,785.0,15.8,3,강박스거더교,B,DB-24,13,15.0,70.0,
하중2교,기타,경기도,시흥시,25.0,31.8,6,RC슬래브교,B,DB-24,13,1.0,25.0,
금이1교,기타,경기도,시흥시,35.5,43.7,7,RC슬래브교,B,DB-24,13,1.0,35.5,
금이2교,기타,경기도,시흥시,30.0,38.9,8,라멘교,B,DB-24,13,2.0,15.0,
논곡교,기타,경기도,시흥시,45.0,24.5,4,RC슬래브교,B,DB-24,13,1.0,45.0,
