교량명,시설물종별등급구분,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수
양벌대교,2,경기도,광주시,37.373321,127.244392,37.375097,127.243486,211.4,19.5,4,PSCI거더교,B,DB-24,26
고산육교,3,경기도,광주시,37.377908,127.241726,37.378564,127.240937,90.2,22.5,6,강박스거더교,B,DB-24,26
군하교,3,경기도,김포시,37.713874,126.54484,37.713365,126.545538,84.0,18.5,4,RC슬래브교,B,DB-24,26
오리교,3,경기도,김포시,37.706418,126.561331,37.706214,126.561835,50.0,18.5,4,라멘교,B,DB-24,26
평택호대교,1,경기도,평택시,36.910759,126.908809,36.91552,126.910182,660.0,19.5,4,강박스거더교,B,DB-24,25
현덕IC교,3,경기도,평택시,36.917497,126.910788,36.917744,126.910898,30.0,19.5,4,라멘교,C,DB-24,25
현덕교,3,경기도,평택시,36.953092,126.915695,36.953419,126.916113,51.0,19.5,4,RC중공슬래브교,B,DB-24,25
안중고가차도,1,경기도,평택시,36.987967,126.938319,36.993366,126.938362,220.0,19.5,4,강박스거더교,B,DB-24,25
신원육교,기타,경기도,이천시,37.289793,127.500555,37.289815,127.500869,15.0,19.5,4,라멘교,B,DB-24,25
백록육교,기타,경기도,이천시,37.295042,127.541362,37.295092,127.541606,10.0,19.5,4,라멘교,B,DB-24,25
능서육교,기타,경기도,여주시,37.301329,127.573042,37.301289,127.573345,15.0,19.5,4,라멘교,B,DB-24,25
신궁1육교,3,경기도,평택시,36.979765,127.072796,36.979652,127.07323,30.7,19.5,4,PSCI거더교,B,DB-24,26
신궁2육교,3,경기도,평택시,36.978607,127.077545,36.978506,127.07798,40.0,19.5,4,강박스거더교,C,DB-24,26
평궁교,3,경기도,평택시,36.977609,127.081367,36.977527,127.081689,30.5,27.0,4,PSCI거더교,B,DB-24,26
