교량명,시설물종별등급구분,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수
적성교,1,경기도,남양주시,37.650569,127.201267,37.650497,127.203536,200.0,20.9,4,강박스거더교,B,DB-24,16
적성IC교,3,경기도,파주시,37.980847,126.917638,37.980788,126.918035,45.0,21.0,4,프리플렉스거더교,B,DB-24,17
송촌대교,1,경기도,파주시,37.756925,126.686818,37.760199,126.688127,422.0,46.0,8,강박스거더교,B,DB-24,31
성동육교,3,경기도,파주시,37.7898,126.679249,37.790745,126.679405,50.0,46.0,8,RC슬래브교,C,DB-24,31
오금교,1,경기도,파주시,37.82699,126.696921,37.827338,126.698305,100.0,46.0,8,강박스거더교,B,DB-24,31
낙하IC교,3,경기도,파주시,37.839573,126.732251,37.840226,126.733249,50.0,46.0,6,RC슬래브교,C,DB-24,29
문산대교,1,경기도,파주시,37.85789,126.768016,37.862337,126.766428,651.0,46.0,8,강박스거더교,B,DB-24,29
당동교,3,경기도,파주시,37.864764,126.761664,37.864897,126.761166,45.0,49.0,6,RC슬래브교,C,DB-24,29
반구정교,3,경기도,파주시,37.866636,126.756187,37.866824,126.755799,27.0,46.0,4,RC슬래브교,C,DB-24,29
사목1교,3,경기도,파주시,37.868371,126.753852,37.868699,126.753562,27.0,46.0,4,RC슬래브교,B,DB-24,29
사목2교,3,경기도,파주시,37.885528,126.747467,37.885578,126.747032,45.0,46.0,4,RC슬래브교,C,DB-24,29
마정육교,1,경기도,파주시,37.887711,126.747401,37.889353,126.747551,191.0,46.0,4,강박스거더교,B,DB-24,29
사능철도육교,1,경기도,남양주시,37.646828,127.183035,37.646582,127.184429,120.0,18.9,4,강박스거더교,B,DB-24,24
사능1교,기타,경기도,남양주시,37.646268,127.186098,37.646213,127.186422,18.9,12.0,4,라멘교,B,DB-24,24
사능2교,2,경기도,남양주시,37.645884,127.189114,37.64613,127.190149,100.0,28.9,4,PSCI거더교,B,DB-24,24
사능IC교,3,경기도,남양주시,37.647784,127.192806,37.648031,127.193203,45.0,18.9,4,강박스거더교,B,DB-24,24
검단교,기타,경기도,파주시,37.77215,126.682586,37.772483,126.682458,10.0,46.0,8,라멘교,B,DB-24,31
눌노천교,1,경기도,파주시,37.915326,126.829268,37.919464,126.830566,470.0,21.0,4,강박스거더교,B,DB-24,15
답곡천교,3,경기도,파주시,37.948549,126.839723,37.948777,126.840276,60.0,21.0,4,PSCI거더교,B,DB-24,15
답곡교,기타,경기도,파주시,37.958345,126.857013,37.958529,126.857265,12.0,21.0,4,라멘교,B,DB-24,15
두지IC교,기타,경기도,파주시,37.966472,126.895961,37.966632,126.896218,12.0,21.0,4,라멘교,B,DB-24,15
연하교,기타,경기도,가평군,37.802716,127.347249,37.802922,127.346991,30.4,21.0,4,PSCI거더교,B,DB-24,13
비득교(상),1,경기도,가평군,37.805327,127.343762,37.807251,127.342748,210.0,10.5,2,강박스거더교,B,DB-24,13
비득교(하),1,경기도,가평군,37.805336,127.343692,37.807239,127.342705,210.0,10.5,2,강박스거더교,B,DB-24,13
성적교(상),1,경기도,가평군,37.817371,127.337979,37.818887,127.337338,180.0,10.5,2,강박스거더교,B,DB-24,13
성적교(하),1,경기도,가평군,37.817271,127.337942,37.818796,127.337277,180.0,10.5,2,강박스거더교,B,DB-24,13
범말1교(상),1,경기도,가평군,37.821053,127.331585,37.821199,127.329936,145.0,10.5,2,강박스거더교,B,DB-24,13
범말1교(하),1,경기도,가평군,37.821133,127.331613,37.821292,127.329977,145.0,10.5,2,강박스거더교,B,DB-24,13
태봉1교,기타,경기도,가평군,37.82141,127.331445,37.821506,127.330946,45.0,8.0,1,RC슬래브교,B,DB-24,13
태봉2교,기타,경기도,가평군,37.820849,127.33132,37.820864,127.330314,90.0,8.0,1,강박스거더교,B,DB-24,13
범말2교(상),2,경기도,가평군,37.823422,127.321719,37.824746,127.320828,160.0,10.5,2,강박스거더교,B,DB-24,13
범말2교(하),2,경기도,가평군,37.823359,127.321646,37.824683,127.32074,160.0,10.5,2,강박스거더교,B,DB-24,13
물곡1교(상),2,경기도,가평군,37.825701,127.320189,37.827135,127.319229,180.0,10.5,2,PSCI거더교,B,DB-24,13
물곡1교(하),2,경기도,가평군,37.825655,127.320105,37.827087,127.31912,180.0,10.5,2,PSCI거더교,B,DB-24,13
물곡2교(상),1,경기도,가평군,37.827464,127.318839,37.828362,127.317503,150.0,10.5,2,강박스거더교,B,DB-24,13
물곡2교(하),1,경기도,가평군,37.827417,127.318769,37.828231,127.317482,150.0,10.5,2,강박스거더교,B,DB-24,13
자작1교(상),2,경기도,가평군,37.828871,127.31471,37.828828,127.312972,180.0,14.0,3,PSCI거더교,B,DB-24,13
자작1교(하),2,경기도,가평군,37.82876,127.314695,37.828729,127.31299,150.0,10.5,2,PSCI거더교,B,DB-24,13
자작2교(상),2,경기도,가평군,37.828784,127.311466,37.828714,127.308325,300.0,14.0,3,PSCI거더교,B,DB-24,13
자작2교(하),2,경기도,가평군,37.828691,127.311402,37.828595,127.308315,270.0,10.5,2,PSCI거더교,B,DB-24,13
자작3교(상),2,경기도,가평군,37.828585,127.304708,37.828557,127.303348,120.0,10.5,2,PSCI거더교,B,DB-24,13
자작3교(하),2,경기도,가평군,37.828491,127.30472,37.828455,127.303344,120.2,10.5,2,PSCI거더교,B,DB-24,13
자작4교(상),2,경기도,가평군,37.828532,127.302613,37.828504,127.301246,120.0,10.5,2,PSCI거더교,B,DB-24,13
자작4교(하),2,경기도,가평군,37.828441,127.30265,37.8284,127.301298,120.0,10.5,2,PSCI거더교,B,DB-24,13
율길1교,기타,경기도,가평군,37.830926,127.291206,37.831123,127.290973,30.0,21.0,4,PSCI거더교,B,DB-24,13
율길2교,기타,경기도,가평군,37.832004,127.289979,37.832224,127.289796,30.0,21.0,2,PSCI거더교,B,DB-24,13
율길3교,기타,경기도,가평군,37.844584,127.28484,37.844701,127.284716,14.0,20.1,4,라멘교,B,DB-24,13
하천IC교(상),기타,경기도,가평군,37.749682,127.431432,37.749881,127.430989,45.0,7.9,1,강박스거더교,B,DB-24,12
하천IC교(하),기타,경기도,가평군,37.749637,127.431363,37.749785,127.430888,45.0,7.9,1,강박스거더교,B,DB-24,12
다원1교,2,경기도,가평군,37.756884,127.404994,37.757775,127.403715,150.4,21.0,4,PSCI거더교,B,DB-24,12
다원2교,1,경기도,가평군,37.759232,127.401394,37.760193,127.399777,180.0,21.0,4,강박스거더교,B,DB-24,12
덕현교,2,경기도,가평군,37.761599,127.397373,37.762563,127.395724,180.4,21.0,4,PSCI거더교,B,DB-24,12
상면교,1,경기도,가평군,37.772329,127.381357,37.772817,127.379879,140.0,21.0,4,강박스거더교,B,DB-24,12
항사1교,1,경기도,가평군,37.791686,127.367719,37.794552,127.36597,353.0,21.0,4,강박스거더교,B,DB-24,12
항사2교,기타,경기도,가평군,37.79499,127.365502,37.795291,127.3651,45.0,21.0,4,강박스거더교,B,DB-24,12
상동천교,3,경기도,가평군,37.799558,127.351607,37.799992,127.351006,90.0,21.0,4,PSCI거더교,B,DB-24,12
오빈IC교(상),2,경기도,양평군,37.50275,127.473907,37.502685,127.474514,52.1,10.6,2,강박스거더교,B,DB-24,12
오빈IC교(하),기타,경기도,양평군,37.502634,127.473898,37.502562,127.474595,49.0,21.1,2,강박스거더교,B,DB-24,12
먹골IC교,기타,경기도,남양주시,37.648691,127.174235,37.648698,127.174722,45.0,20.9,4,강박스거더교,B,DB-24,9
신천교,2,경기도,양주시,37.860694,127.057647,37.862269,127.055758,245.4,24.9,5,PSCI거더교,B,DB-24,9
용암1교,기타,경기도,양주시,37.864106,127.053525,37.864402,127.05316,45.1,21.2,4,PSCI거더교,B,DB-24,9
용암2교,기타,경기도,양주시,37.866992,127.050021,37.867286,127.049664,45.1,21.2,4,PSCI거더교,B,DB-24,9
은현IC교,기타,경기도,양주시,37.881165,127.03788,37.881284,127.037787,15.0,25.0,5,라멘교,B,DB-24,9
은현교,기타,경기도,양주시,37.881979,127.037175,37.882569,127.03662,80.0,20.9,4,기타,B,DB-24,9
은현IC RAMPE교,기타,경기도,양주시,37.882085,127.037344,37.882654,127.036784,80.0,8.0,1,기타,B,DB-24,9
하패1교,기타,경기도,양주시,37.892784,127.029717,37.893084,127.029583,35.0,20.9,4,PSC슬래브교,B,DB-24,9
하패2교,기타,경기도,양주시,37.895267,127.028867,37.895523,127.028776,35.0,21.2,4,기타,B,DB-24,9
진재교,기타,경기도,양주시,37.897413,127.028131,37.897657,127.028064,30.0,21.1,4,PSC슬래브교,B,DB-24,9
상패천1교,기타,경기도,동두천시,37.900832,127.027597,37.901636,127.027624,90.0,21.1,4,기타,B,DB-24,9
상패천2교,2,경기도,동두천시,37.903435,127.027917,37.904982,127.028285,175.0,25.1,5,PSC슬래브교,B,DB-24,9
상패IC교,기타,경기도,동두천시,37.90766,127.028919,37.907855,127.029016,15.0,24.9,5,라멘교,A,DB-24,9
상패IC RAMPA교,기타,경기도,동두천시,37.908273,127.027582,37.908751,127.027065,70.0,23.7,5,강박스거더교,B,DB-24,9
사능1교(상),2,경기도,남양주시,37.649559,127.213003,37.649431,127.214333,120.0,10.4,2,PSCI거더교,C,DB-24,16
사능1교(하),2,경기도,남양주시,37.649653,127.213051,37.649519,127.214403,120.0,10.4,2,PSCI거더교,C,DB-24,16
호평교(상),1,경기도,남양주시,37.663221,127.246609,37.661144,127.253244,630.0,10.5,2,강박스거더교,B,DB-24,16
호평교(하),1,경기도,남양주시,37.663123,127.246579,37.661063,127.25322,630.0,10.5,2,강박스거더교,B,DB-24,16
호평IC교(상),2,경기도,남양주시,37.661,127.235327,37.66187,127.236239,125.0,23.8,2,강박스거더교,C,DB-24,16
호평IC교(하),2,경기도,남양주시,37.660787,127.235624,37.661609,127.236498,125.0,15.0,2,강박스거더교,C,DB-24,16
마치교(상),1,경기도,남양주시,37.656723,127.260854,37.655134,127.262436,225.0,10.0,2,강박스거더교,B,DB-24,18
마치교(하),1,경기도,남양주시,37.656627,127.261164,37.655125,127.26288,225.0,10.9,2,강박스거더교,C,DB-24,18
사로교,2,경기도,남양주시,37.639349,127.148537,37.639478,127.150812,210.0,17.4,8,PSCI거더교,B,DB-24,12
진관IC교,기타,경기도,남양주시,37.647686,127.160659,37.647975,127.160761,35.0,34.9,8,PSCI거더교,B,DB-24,7
신월IC교,기타,경기도,남양주시,37.65873,127.157483,37.659285,127.157116,28.0,34.9,8,라멘교,B,DB-24,7
임송IC교,1,경기도,남양주시,37.669178,127.15371,37.669526,127.153602,135.0,11.4,2,강박스거더교,B,DB-24,7
임송교,기타,경기도,남양주시,37.675551,127.164877,37.676095,127.165403,12.5,21.0,4,라멘교,B,DB-24,7
용정교,2,경기도,남양주시,37.679249,127.167762,37.680213,127.16839,120.0,21.1,4,PSCI거더교,B,DB-24,7
연평IC교,1,경기도,남양주시,37.692134,127.165868,37.693305,127.165901,130.0,21.1,4,강박스거더교,B,DB-24,6
진관IC 1교,2,경기도,남양주시,37.646509,127.159922,37.646531,127.160455,50.0,17.4,3,강박스거더교,C,DB-24,7
진관IC 2교,기타,경기도,남양주시,37.646696,127.161752,37.646779,127.162141,35.0,11.4,2,PSCI거더교,B,DB-24,7
진관IC 3교,기타,경기도,남양주시,37.64652,127.161919,37.646645,127.162297,35.0,11.4,2,PSCI거더교,B,DB-24,7
진관육교,기타,경기도,남양주시,37.648604,127.174206,37.648625,127.174759,40.0,34.9,9,강박스거더교,B,DB-24,7
사능2교(상),3,경기도,남양주시,37.64939,127.216993,37.649398,127.218012,90.0,10.4,2,PSCI거더교,B,DB-24,16
사능2교(하),3,경기도,남양주시,37.64919,127.217111,37.649224,127.218076,90.0,10.4,2,PSCI거더교,B,DB-24,16
호평육교(상),3,경기도,남양주시,37.662786,127.238215,37.662897,127.238467,30.0,10.9,2,PSCI거더교,B,DB-24,16
호평육교(하),3,경기도,남양주시,37.663005,127.238065,37.663113,127.238386,30.0,16.6,2,PSCI거더교,B,DB-24,16
동이대교,1,경기도,연천군,38.015105,127.00917,38.017158,127.017097,400.0,20.9,4,사장교,B,DB-24,7
장암IC 1교,1,경기도,의정부시,37.720444,127.061635,37.720768,127.061683,130.0,11.0,2,강박스거더교,B,DB-24,8
장암IC 2교,1,경기도,의정부시,37.721038,127.061363,37.720635,127.061053,150.0,11.0,2,강박스거더교,B,DB-24,8
민락1교(상),2,경기도,의정부시,37.744409,127.103984,37.744972,127.104104,55.0,14.0,3,강박스거더교,B,DB-24,8
민락1교(하),2,경기도,의정부시,37.744988,127.103911,37.744434,127.103805,55.0,18.0,4,강박스거더교,B,DB-24,8
민락3교,2,경기도,의정부시,37.749893,127.102451,37.750925,127.10142,150.0,32.5,7,PSCI거더교,B,DB-24,8
자금교,1,경기도,의정부시,37.759408,127.090364,37.762157,127.086759,440.0,28.0,6,강박스거더교,B,DB-24,8
자금IC R-B1교,1,경기도,의정부시,37.760431,127.088074,37.760261,127.088385,255.0,8.0,1,강박스거더교,B,DB-24,8
자금IC R-C1교,1,경기도,의정부시,37.762778,127.088355,37.762765,127.088178,120.0,8.0,1,강박스거더교,B,DB-24,8
자금IC R-E교,1,경기도,의정부시,37.75993,127.086743,37.760414,127.087698,300.0,8.0,1,강박스거더교,B,DB-24,8
자금IC R-F교,2,경기도,의정부시,37.759854,127.087403,37.759794,127.088106,130.0,8.0,1,프리플렉스거더교,B,DB-24,8
오리교1,기타,경기도,양주시,37.777557,127.077195,37.777922,127.077106,30.0,22.0,4,PSC슬래브교,A,DB-24,8
오리교2,기타,경기도,양주시,37.777935,127.076752,37.777559,127.076787,30.0,15.0,3,PSC슬래브교,B,DB-24,8
광사IC교,기타,경기도,양주시,37.783084,127.076496,37.78358,127.076469,40.0,49.0,10,프리플렉스거더교,B,DB-24,8
광사1교,기타,경기도,양주시,37.786187,127.076335,37.786989,127.076287,90.0,36.0,6,프리플렉스거더교,B,DB-24,8
광사2교,기타,경기도,양주시,37.7842,127.068531,37.784338,127.068381,18.0,42.4,6,라멘교,B,DB-24,8
삽사교,2,경기도,양주시,37.792703,127.075933,37.793814,127.075852,107.0,28.0,6,프리플렉스거더교,B,DB-24,9
고읍육교,2,경기도,양주시,37.800555,127.075027,37.800459,127.075799,50.0,7.0,2,프리플렉스거더교,B,DB-24,9
고읍IC교,기타,경기도,양주시,37.802043,127.075345,37.802286,127.075328,40.0,28.0,6,프리플렉스거더교,B,DB-24,8
지계1교,기타,경기도,양주시,37.809282,127.074721,37.809536,127.074662,30.0,32.0,7,PSC슬래브교,A,DB-24,8
지계2교,기타,경기도,양주시,37.811079,127.074275,37.811295,127.074216,12.0,31.0,7,라멘교,B,DB-24,8
고암IC 1교,1,경기도,양주시,37.816237,127.07614,37.816727,127.077146,95.0,21.0,4,강박스거더교,B,DB-24,9
고암IC 2교,2,경기도,양주시,37.814491,127.073157,37.814804,127.073569,50.0,14.0,2,강박스거더교,B,DB-24,9
회천교,2,경기도,양주시,37.819432,127.072159,37.819814,127.072083,50.0,32.5,6,프리플렉스거더교,B,DB-24,9
청담천교 1,1,경기도,양주시,37.820254,127.072105,37.821873,127.071783,200.0,21.0,3,강박스거더교,B,DB-24,9
청담천교 2,1,경기도,양주시,37.822161,127.071451,37.82028,127.07188,200.0,15.0,3,강박스거더교,B,DB-24,9
우산교,기타,경기도,양주시,37.823466,127.071552,37.823983,127.071689,35.0,30.5,6,PSC슬래브교,B,DB-24,8
옥정교,기타,경기도,양주시,37.827771,127.074464,37.828119,127.074748,46.0,27.9,6,PSC슬래브교,A,DB-24,8
고암교,기타,경기도,양주시,37.833944,127.078717,37.83407,127.078814,12.0,35.0,8,라멘교,B,DB-24,8
회암IC 1교,기타,경기도,양주시,37.836432,127.080645,37.836605,127.080806,25.0,28.0,6,프리플렉스거더교,B,DB-24,8
회암IC 2교,기타,경기도,양주시,37.838571,127.082287,37.838885,127.082544,40.0,36.0,8,프리플렉스거더교,B,DB-24,8
회암천교(상),1,경기도,양주시,37.84124,127.084003,37.84257,127.084245,145.0,15.0,3,강박스거더교,B,DB-24,9
노촌말교,기타,경기도,양주시,37.846728,127.081085,37.846885,127.080822,40.0,28.0,6,프리플렉스거더교,B,DB-24,8
봉양교,기타,경기도,양주시,37.84919,127.076371,37.849262,127.076245,15.0,28.0,6,라멘교,B,DB-24,8
월덕보교,기타,경기도,양주시,37.849788,127.075198,37.849998,127.074827,40.0,28.0,6,프리플렉스거더교,B,DB-24,8
내촌육교,기타,경기도,양주시,37.852951,127.069077,37.85312,127.068803,30.0,28.0,6,PSC슬래브교,B,DB-24,8
턱골교,기타,경기도,양주시,37.855223,127.064681,37.855456,127.064316,40.0,28.0,6,프리플렉스거더교,B,DB-24,8
신내IC교,기타,경기도,양주시,37.859619,127.058903,37.859848,127.058635,15.0,25.0,2,라멘교,A,DB-24,8
신내IC R-F교,기타,경기도,양주시,37.85815,127.059279,37.858158,127.060394,75.0,7.9,1,기타,C,DB-24,8
신곡교,기타,경기도,의정부시,37.727187,127.075499,37.727264,127.075863,30.0,41.5,6,PSCI거더교,B,DB-24,8
신곡IC교,기타,경기도,의정부시,37.726244,127.067313,37.726324,127.067533,15.0,45.2,6,라멘교,B,DB-24,8
부용교(상),기타,경기도,의정부시,37.7316,127.089975,37.731872,127.090463,41.0,29.0,3,라멘교,B,DB-24,8
부용교(하),기타,경기도,의정부시,37.732091,127.090197,37.731843,127.089806,41.0,29.0,3,라멘교,A,DB-24,8
민락2교,기타,경기도,의정부시,37.746172,127.104091,37.746947,127.10399,90.0,33.0,4,PSCI거더교,B,DB-24,8
민락IC육교,기타,경기도,의정부시,37.748232,127.103506,37.748571,127.103334,40.0,32.2,4,프리플렉스거더교,B,DB-24,8
민락IC R-A1교,기타,경기도,의정부시,37.746995,127.103652,37.746679,127.103432,40.0,14.0,2,라멘교,B,DB-24,8
민락IC R-B교,기타,경기도,의정부시,37.74711,127.102367,37.747494,127.102413,40.0,7.5,1,라멘교,B,DB-24,8
민락IC R-C교,기타,경기도,의정부시,37.746403,127.103089,37.746323,127.103215,15.0,8.9,1,라멘교,B,DB-24,8
민락천교,기타,경기도,의정부시,37.748944,127.106409,37.748991,127.106047,40.0,29.7,4,PSCI거더교,B,DB-24,8
자금IC R-A교,기타,경기도,의정부시,37.760464,127.089737,37.76071,127.089619,40.1,7.9,1,PSCI거더교,B,DB-24,8
자금IC R-B2교,기타,경기도,의정부시,37.76211,127.087376,37.762271,127.087548,15.0,8.6,1,라멘교,B,DB-24,8
자금IC R-C2교,기타,경기도,의정부시,37.762766,127.088101,37.762748,127.087579,45.1,8.0,1,프리플렉스거더교,B,DB-24,8
장암고가교,1,경기도,의정부시,37.717671,127.061576,37.722454,127.062725,549.0,12.4,2,강박스거더교,B,DB-24,9
회암천교(하),1,경기도,양주시,37.842413,127.084146,37.8414,127.084008,145.0,18.0,3,강박스거더교,B,DB-24,9
부곡R-A1교(상),1,경기도,양주시,37.726195,126.977977,37.726843,126.978907,110.0,10.2,2,강박스거더교,B,DB-24,7
부곡R-A1교(하),1,경기도,양주시,37.726974,126.978816,37.726318,126.978059,110.0,10.4,2,강박스거더교,B,DB-24,7
부곡R-A2교,2,경기도,양주시,37.728461,126.97919,37.728844,126.979264,50.0,13.4,2,PSCI거더교,B,DB-24,7
부곡R-B교,기타,경기도,양주시,37.729794,126.978155,37.729132,126.97837,90.0,7.9,1,강박스거더교,A,DB-24,7
부곡R-C교,2,경기도,양주시,37.729855,126.978095,37.729557,126.977536,60.0,7.9,1,강박스거더교,B,DB-24,7
부곡R-D교,1,경기도,양주시,37.728767,126.977897,37.728078,126.978714,110.0,8.0,1,강박스거더교,B,DB-24,7
부곡1교(상),1,경기도,양주시,37.728996,126.97742,37.728353,126.979752,220.0,20.5,2,PSCI거더교,B,DB-24,7
부곡1교(하),1,경기도,양주시,37.728425,126.980659,37.729271,126.977505,292.0,10.5,2,PSCI거더교,B,DB-24,7
울대3교(상),1,경기도,양주시,37.727318,126.991509,37.728125,126.993426,186.0,9.5,2,강박스거더교,B,DB-24,7
울대3교(하),1,경기도,양주시,37.728462,126.993693,37.727669,126.991844,186.0,9.5,2,강박스거더교,B,DB-24,7
울대4교(상),기타,경기도,양주시,37.726998,126.990284,37.727034,126.990418,10.0,16.5,2,RC박스거더교,A,DB-24,7
울대4교(하),기타,경기도,양주시,37.727275,126.990324,37.72725,126.990188,10.0,16.5,2,RC박스거더교,A,DB-24,7
울대5교,기타,경기도,양주시,37.730017,126.99601,37.730224,126.996251,30.0,21.1,4,PSCI거더교,B,DB-24,7
일영1교(상),1,경기도,양주시,37.718247,126.92918,37.718379,126.931777,210.0,10.6,2,강박스거더교,B,DB-24,7
일영1교(하),1,경기도,양주시,37.718496,126.931772,37.718359,126.929174,230.0,10.6,2,강박스거더교,B,DB-24,7
일영2교(상),2,경기도,양주시,37.719734,126.938718,37.72124,126.941711,320.0,10.6,2,PSCI거더교,B,DB-24,7
일영2교(하),2,경기도,양주시,37.721353,126.941626,37.719838,126.938632,320.0,10.6,2,PSCI거더교,B,DB-24,7
장흥1교(상),1,경기도,양주시,37.727844,126.949368,37.72943,126.951795,280.0,10.4,2,강박스거더교,C,DB-24,7
장흥1교(하),1,경기도,양주시,37.7298,126.951794,37.728073,126.949164,295.0,10.6,2,강박스거더교,C,DB-24,7
대성교,3,경기도,파주시,37.942271,126.69738,37.942338,126.697226,25.2,10.0,2,라멘교,C,DB-18,42
양평IC교,기타,경기도,양평군,37.49938,127.512061,37.499367,127.512513,15.0,19.4,4,라멘교,B,DB-24,8
도곡교,기타,경기도,양평군,37.481964,127.518796,37.482367,127.518813,45.0,20.0,4,PSCI거더교,C,DB-24,8
도곡천교,기타,경기도,양평군,37.490651,127.515343,37.490897,127.515178,30.0,22.0,5,PSCI거더교,B,DB-24,8
양근천교,기타,경기도,양평군,37.494409,127.513169,37.494747,127.513053,40.0,14.0,4,PSCI거더교,B,DB-24,8
백안교,기타,경기도,양평군,37.497263,127.512541,37.497421,127.512531,15.0,24.5,5,라멘교,B,DB-24,8
설악공원교,기타,경기도,가평군,37.682402,127.488515,37.682919,127.488779,61.0,19.8,4,라멘교,B,DB-24,5
울업천교,기타,경기도,가평군,37.688882,127.490751,37.689077,127.490872,15.0,19.1,4,라멘교,B,DB-24,5
가평대교,1,경기도,가평군,37.700999,127.494874,37.707498,127.496255,720.0,14.3,2,엑스트라도즈드교,B,DB-24,5
광전3교,2,경기도,남양주시,37.688141,127.132705,37.688032,127.133419,65.0,13.4,4,강박스거더교,C,DB-24,7
삼율리교,2,경기도,포천시,38.110087,127.209177,38.110896,127.209874,105.0,12.4,2,PSCI거더교,B,DB-24,6
뒷골교,기타,경기도,포천시,38.057753,127.206019,38.058623,127.205953,90.0,12.4,2,PSCI거더교,B,DB-24,6
절골교,기타,경기도,포천시,38.060137,127.205878,38.061056,127.205812,90.0,12.4,2,PSCI거더교,B,DB-24,6
중리교,기타,경기도,포천시,38.099586,127.207112,38.100194,127.206885,70.0,12.4,2,PSCI거더교,B,DB-24,6
연평교,기타,경기도,남양주시,37.703336,127.170117,37.702843,127.169503,80.0,21.1,4,기타,B,DB-24,6
진건천교,1,경기도,남양주시,37.710793,127.179487,37.709781,127.178379,145.0,21.1,4,강박스거더교,B,DB-24,6
장현고가교,기타,경기도,남양주시,37.712747,127.183233,37.713162,127.183082,45.2,21.1,4,기타,B,DB-24,6
연천IC교,기타,경기도,연천군,38.090851,127.079877,38.090922,127.07988,15.0,28.9,6,라멘교,A,DB-24,6
옥산교,기타,경기도,연천군,38.102224,127.084753,38.10271,127.085028,15.0,20.9,4,라멘교,A,DB-24,6
옥산1천교,기타,경기도,연천군,38.118472,127.090847,38.117229,127.090395,45.0,20.9,4,PSCI거더교,A,DB-24,6
옥산2천교,기타,경기도,연천군,38.124974,127.091568,38.124424,127.091579,45.0,20.9,4,PSCI거더교,A,DB-24,6
옥산3천교,기타,경기도,연천군,38.130594,127.090341,38.129972,127.09044,30.0,20.9,4,PSCI거더교,A,DB-24,6
와초IC교,기타,경기도,연천군,38.13523,127.092873,38.135313,127.092955,30.0,20.9,4,PSCI거더교,A,DB-24,6
꽃봉산천교,기타,경기도,연천군,38.139424,127.096489,38.140192,127.096832,90.0,20.9,4,PSCI거더교,A,DB-24,6
도신대교,1,경기도,연천군,38.161276,127.099318,38.165207,127.096448,490.0,20.9,4,강박스거더교,B,DB-24,6
마전천교,1,경기도,연천군,38.175648,127.09292,38.177261,127.091781,180.0,20.9,4,PSCI거더교,B,DB-24,6
마포교,1,경기도,연천군,38.008032,127.001318,38.010491,127.004096,1070.0,20.9,4,PSC중공슬래브교,B,DB-24,5
어유1교,기타,경기도,파주시,37.997521,126.984744,37.997166,126.984397,40.0,21.2,4,프리플렉스거더교,A,DB-24,5
어유2교,기타,경기도,파주시,37.99479,126.982361,37.995293,126.982829,70.0,28.9,4,기타,A,DB-24,5
장현1교,기타,경기도,파주시,37.992408,126.980505,37.992072,126.980251,30.0,21.1,4,기타,A,DB-24,5
장현2교,1,경기도,파주시,37.98126,126.96694,37.979237,126.963549,150.0,20.9,4,기타,B,DB-24,5
객현1교,기타,경기도,파주시,37.975903,126.955595,37.975921,126.955242,30.0,20.9,4,PSC슬래브교,A,DB-24,5
객현2교,기타,경기도,파주시,37.976674,126.947143,37.976764,126.946745,95.0,20.9,4,프리플렉스거더교,A,DB-24,5
솔개교,기타,경기도,파주시,37.98835,126.977107,37.98839,126.977142,18.9,15.6,2,RC슬래브교,A,DB-24,5
팔당대교,1,경기도,하남시,37.542365,127.233104,37.548336,127.24056,935.0,24.0,4,강박스거더교,B,DB-24,28
포천1교,2,경기도,포천시,37.889569,127.19858,37.890128,127.200088,145.6,17.5,4,RC슬래브교,B,DB-24,36
사노교,2,경기도,남양주시,37.63922,127.148556,37.639334,127.150889,210.0,24.0,4,PSC슬래브교,B,DB-24,26
상패천3교(연천),1,경기도,동두천시,37.909815,127.02981,37.910684,127.030385,110.0,25.7,2,강박스거더교,B,DB-24,5
외안흥교,1,경기도,동두천시,37.925969,127.044168,37.928716,127.044874,330.0,21.2,4,PSC슬래브교,B,DB-24,5
복음교,기타,경기도,양평군,37.515064,127.427216,37.515325,127.427217,32.0,13.0,2,강박스거더교,C,DB-24,26
장탄교,기타,경기도,연천군,38.033533,127.088889,38.033086,127.08925,45.0,11.4,2,강박스거더교,A,DB-24,5
장탄육교,기타,경기도,연천군,38.038061,127.086841,38.037958,127.086627,35.0,5.9,2,PSC슬래브교,A,DB-24,5
전곡대교,1,경기도,연천군,38.042805,127.076645,38.039608,127.085,810.0,21.2,4,PSC중공슬래브교,B,DB-24,5
은대IC교,1,경기도,연천군,38.044353,127.067593,38.043992,127.069267,130.0,20.9,4,PSC슬래브교,B,DB-24,5
은대과선교,2,경기도,연천군,38.044931,127.065019,38.044769,127.065759,50.0,38.9,8,PSC슬래브교,B,DB-24,5
가사평교,기타,경기도,연천군,38.042754,127.074748,38.042779,127.074634,12.0,21.1,4,라멘교,A,DB-24,5
용바위교,1,경기도,연천군,38.044211,127.055659,38.045345,127.058155,250.0,21.2,4,PSC중공슬래브교,B,DB-24,5
황지교,2,경기도,연천군,38.040717,127.053105,38.042455,127.053938,210.0,20.9,4,PSC슬래브교,B,DB-24,5
구석동교,2,경기도,연천군,38.037909,127.051887,38.036499,127.051282,120.0,20.9,4,PSC슬래브교,B,DB-24,5
화진교,1,경기도,연천군,38.020967,127.031111,38.021417,127.032711,150.0,20.9,4,PSC슬래브교,B,DB-24,5
남계IC교,기타,경기도,연천군,38.019977,127.02762,38.01993,127.027412,20.0,20.9,4,PSC슬래브교,A,DB-24,5
